mtu,baseline,RUSB,sigRUS
8470,1008.138,1010.152,1001.593
8480,1008.999,1010.884,1001.928
8490,1005.875,1010.563,1002.938
8500,1007.700,1011.593,1003.461
8510,1007.658,1011.919,1003.524
8520,1008.329,1010.668,1001.364
8530,1007.889,1011.441,1002.497
8540,1007.344,1011.290,1003.063
8550,1007.073,1010.785,1002.350
8560,1008.266,1011.512,1002.015
8570,1009.085,1009.018,1002.750
8580,1008.497,1010.693,1002.580
8590,1007.218,1011.749,1003.482
8600,1008.707,1010.303,1002.118
8610,1008.770,1012.206,1002.244
8620,1008.769,1010.598,1002.326
8630,1007.008,1011.073,1003.882
8640,1007.826,1011.982,1003.714
8650,1008.098,1010.349,1003.063
8660,1008.391,1009.564,1002.181
8670,1010.362,1005.747,1003.229
8680,1010.509,1008.832,1003.629
8690,1008.603,1012.762,1002.474
